命题名称,分类,序号,技术要点,核心规则,模拟类型,模板,状态,等级,预估工时(天)
谢林隔离模型,涌现与自组织,8,2D网格Agent模拟，可调容忍度阈值,个体微小的同类偏好导致极端的群体隔离,可调参数模拟,,待开发,A级,2
Boids鸟群模拟,涌现与自组织,3,Canvas粒子系统，可调三个参数权重,分离、对齐、聚合三条规则产生群体行为,可调参数模拟,,待开发,A级,3
Langton蚂蚁,涌现与自组织,2,Canvas逐步渲染，可调速度,2条转向规则，约1万步后涌现高速公路,可调参数模拟,,待开发,A级,2
蚁群觅食,涌现与自组织,4,信息素扩散与蒸发算法，Canvas渲染,信息素正反馈机制涌现最短路径,可调参数模拟,,待开发,A级,3
元胞自动机(Rule 30/110),涌现与自组织,10,逐行渲染，可切换不同规则编号,一维简单规则生成复杂图案，Rule 110具有图灵完备性,可调参数模拟,,待开发,B级,1
幽灵堵塞,涌现与自组织,9,环形公路可视化，可调车辆密度与刹车概率,Nagel-Schreckenberg跟车模型，无瓶颈也能产生堵车,交互叙事,,待开发,S级,5
沙堆模型(自组织临界性),涌现与自组织,7,2D网格+崩塌规则，Canvas渲染,沙粒堆积超过阈值触发雪崩，系统自动趋向临界态,可调参数模拟,,待开发,B级,1
康威生命游戏,涌现与自组织,1,Canvas 2D网格渲染，支持绘制/暂停/步进/速度调节,4条生死规则：孤独死、拥挤死、存活、繁殖,交互叙事,,待开发,S级,5
反应扩散(图灵斑图),涌现与自组织,6,Gray-Scott模型，WebGL着色器加速,两种化学物质的扩散与反应产生动物花纹,交互叙事,,待开发,S级,5
贝纳德对流,涌现与自组织,5,简化的2D热力学模拟，WebGL渲染,温差驱动流体自组织形成六角花纹,可调参数模拟,,待开发,A级,3
Mandelbrot集,混沌与非线性,15,WebGL着色器加速渲染，支持缩放与平移,z=z^2+c 迭代是否发散定义集合边界，无限缩放仍有细节,可调参数模拟,,待开发,A级,3
Julia集,混沌与非线性,16,复用Mandelbrot着色器，切换参数,与Mandelbrot集对偶，不同c值对应不同形态的分形,可调参数模拟,,待开发,B级,1
洛伦兹吸引子,混沌与非线性,12,Three.js 3D渲染，可调sigma/rho/beta参数,三个耦合微分方程产生蝴蝶形混沌吸引子,可调参数模拟,,待开发,A级,3
奇异吸引子合集(Rossler/Chen),混沌与非线性,19,Three.js 3D渲染，复用洛伦兹框架,不同混沌系统的吸引子形态各异但共享混沌特征,可调参数模拟,,待开发,B级,1
双摆,混沌与非线性,11,物理引擎或解析求解，Canvas绘制轨迹，支持多摆对比,确定性系统对初始条件极度敏感，微小差异导致完全不同轨迹,交互叙事,,待开发,S级,5
三体问题,混沌与非线性,14,数值积分(RK4)，Canvas/Three.js渲染轨迹，可拖拽初始位置,三个引力体的运动无解析解，轨迹混沌不可预测,交互叙事,,待开发,S级,6
科赫雪花与分形树,混沌与非线性,17,Canvas递归绘制，可调迭代层数,递归自相似结构，有限面积无限周长,可调参数模拟,,待开发,B级,1
Logistic映射,混沌与非线性,13,分岔图绘制，可交互放大局部,x=rx(1-x) 随r增大经历倍周期分岔通向混沌,可调参数模拟,,待开发,A级,2
费根鲍姆常数,混沌与非线性,18,配合Logistic分岔图标注常数,倍周期分岔的比值趋向通用常数4.669...,可调参数模拟,,待开发,B级,1
纳什均衡可视化,博弈与策略,24,可编辑支付矩阵，高亮最优响应与均衡点,2x2博弈矩阵中双方最优响应的交点即为均衡,可调参数模拟,,待开发,B级,1
公地悲剧,博弈与策略,21,多Agent资源消耗模拟，可调Agent数量与贪婪程度,个体理性最大化导致公共资源耗竭,可调参数模拟,,待开发,A级,3
囚徒困境锦标赛,博弈与策略,20,多策略对战框架，可视化得分矩阵与历史轨迹,重复博弈中以牙还牙策略胜出，合作可以从自私中涌现,交互叙事,,待开发,S级,6
最后通牒博弈,博弈与策略,25,用户扮演分配者/接受者，对比理性预测与实际数据,理性预测接受任何正数，实验中低于30%被拒绝,交互叙事,,待开发,B级,1
鹰鸽博弈(演化稳定策略),博弈与策略,22,种群动态图+比例滑块,种群中鹰派与鸽派的比例趋向演化稳定均衡,可调参数模拟,,待开发,A级,2
拍卖机制对比,博弈与策略,23,多人出价动画，对比不同机制最终价格,荷兰式/英式/Vickrey拍卖的策略差异与收益等价定理,可调参数模拟,,待开发,B级,1
演化博弈(空间囚徒困境),博弈与策略,26,2D网格着色渲染，可调诱惑收益参数,在网格上博弈并模仿邻居策略，合作区域可自发形成,可调参数模拟,,待开发,A级,3
赌徒谬误,概率与统计直觉,34,轮盘模拟+连续结果序列可视化,独立事件无记忆，连续红后黑的概率不变,交互叙事,,待开发,B级,1
辛普森悖论,概率与统计直觉,35,散点图分组/合并切换动画,分组数据趋势与合并数据趋势相反,交互叙事,,待开发,B级,1
生日悖论,概率与统计直觉,31,逐人添加可视化+理论概率曲线对比,23人中有两人同生日的概率>50%,交互叙事,,待开发,B级,1
马尔可夫链,概率与统计直觉,36,状态转移图+可编辑转移矩阵+模拟粒子,状态转移只依赖当前状态，长期趋向稳态分布,可调参数模拟,,待开发,A级,2
蒙提霍尔问题(三门问题),概率与统计直觉,27,用户交互选门+批量模拟统计验证,换门胜率2/3，不换1/3，违反直觉的条件概率,交互叙事,,待开发,S级,5
高尔顿板(正态分布),概率与统计直觉,28,粒子物理模拟+实时直方图,小球经多次随机偏折后分布趋向正态,可调参数模拟,,待开发,A级,2
大数定律,概率与统计直觉,30,掷骰子/抛硬币动画+均值收敛曲线,样本均值随样本量增大趋向期望值,可调参数模拟,,待开发,B级,1
贝叶斯定理直觉,概率与统计直觉,32,可调先验/似然滑块，面积图实时更新,先验概率+新证据→后验概率，用面积图直观理解,可调参数模拟,,待开发,A级,3
随机漫步与布朗运动,概率与统计直觉,29,2D粒子轨迹+均方位移统计图,每步随机方向，大量步数后扩散距离∝√t,可调参数模拟,,待开发,A级,2
中心极限定理,概率与统计直觉,33,可选不同原始分布，叠加样本均值直方图,任意分布的样本均值分布趋向正态,可调参数模拟,,待开发,B级,1
拉格朗日点,物理模拟,40,旋转参考系可视化，可放置测试粒子观察稳定性,两大天体引力与离心力平衡的5个特殊位置,可调参数模拟,,待开发,A级,3
波的叠加与驻波,物理模拟,43,Canvas波形绘制，可调频率/振幅/相位,两列波叠加产生干涉增强/相消，驻波是特例,可调参数模拟,,待开发,A级,2
