"id","slug","title","summary","scene","mechanisms","category_legacy","level","duration_min","status","source_seq","simulation_type","file_ref"
"e61efd18df3a437481353bf4fea33613","u-001-e61efd18","康威生命游戏","4条生死规则：孤独死、拥挤死、存活、繁殖","自然与物理","涌现;反馈","涌现与自组织","S级","15","待开发","1","交互叙事","康威生命游戏 e61efd18df3a437481353bf4fea33613.md"
"4eff011bcab74926a5fbec2892de0422","u-002-4eff011b","Langton蚂蚁","2条转向规则，约1万步后涌现高速公路","自然与物理","涌现;反馈","涌现与自组织","A级","8","待开发","2","可调参数模拟","Langton蚂蚁 4eff011bcab74926a5fbec2892de0422.md"
"447ecc673ac9411b9177afd659d9d58a","u-003-447ecc67","Boids鸟群模拟","分离、对齐、聚合三条规则产生群体行为","自然与物理","涌现;反馈","涌现与自组织","A级","10","待开发","3","可调参数模拟","Boids鸟群模拟 447ecc673ac9411b9177afd659d9d58a.md"
"93b3d9f0b7fb4e7d93824b3ab08d1ea2","u-004-93b3d9f0","蚁群觅食","信息素正反馈机制涌现最短路径","自然与物理","涌现;反馈;编码与信息","涌现与自组织","A级","10","待开发","4","可调参数模拟","蚁群觅食 93b3d9f0b7fb4e7d93824b3ab08d1ea2.md"
"fcc4086413cb4e42b8ec6d5f4771f9df","u-005-fcc40864","贝纳德对流","温差驱动流体自组织形成六角花纹","自然与物理","涌现;反馈","涌现与自组织","A级","10","待开发","5","可调参数模拟","贝纳德对流 fcc4086413cb4e42b8ec6d5f4771f9df.md"
"fca6d3cec952430991e67ec037697235","u-006-fca6d3ce","反应扩散(图灵斑图)","两种化学物质的扩散与反应产生动物花纹","自然与物理","涌现;反馈;编码与信息","涌现与自组织","S级","15","待开发","6","交互叙事","反应扩散(图灵斑图) fca6d3cec952430991e67ec037697235.md"
"dc4a886870bb43b39fb9d8d6ede9d795","u-007-dc4a8868","沙堆模型(自组织临界性)","沙粒堆积超过阈值触发雪崩，系统自动趋向临界态","自然与物理","涌现;反馈","涌现与自组织","B级","6","待开发","7","可调参数模拟","沙堆模型(自组织临界性) dc4a886870bb43b39fb9d8d6ede9d795.md"
"2aad16c5e84248079e946b4081d05643","u-008-2aad16c5","谢林隔离模型","个体微小的同类偏好导致极端的群体隔离","自然与物理","涌现;反馈","涌现与自组织","A级","8","待开发","8","可调参数模拟","谢林隔离模型 2aad16c5e84248079e946b4081d05643.md"
"c15a97ed0d0546cb912a0231e8062bb4","u-009-c15a97ed","幽灵堵塞","Nagel-Schreckenberg跟车模型，无瓶颈也能产生堵车","自然与物理","涌现;反馈;随机性","涌现与自组织","S级","15","待开发","9","交互叙事","幽灵堵塞 c15a97ed0d0546cb912a0231e8062bb4.md"
"953eabd922fa415d856d14337401e2a9","u-010-953eabd9","元胞自动机(Rule 30/110)","一维简单规则生成复杂图案，Rule 110具有图灵完备性","自然与物理","涌现;反馈;编码与信息","涌现与自组织","B级","6","待开发","10","可调参数模拟","元胞自动机(Rule 30 110) 953eabd922fa415d856d14337401e2a9.md"
"a06f59c483a748138e0acedd9b9a1697","u-011-a06f59c4","双摆","确定性系统对初始条件极度敏感，微小差异导致完全不同轨迹","自然与物理","非线性;反馈","混沌与非线性","S级","15","待开发","11","交互叙事","双摆 a06f59c483a748138e0acedd9b9a1697.md"
"560e6bf7a1764744976dc5ff757e4cc6","u-012-560e6bf7","洛伦兹吸引子","三个耦合微分方程产生蝴蝶形混沌吸引子","自然与物理","非线性;反馈","混沌与非线性","A级","10","待开发","12","可调参数模拟","洛伦兹吸引子 560e6bf7a1764744976dc5ff757e4cc6.md"
"dd9b63563ad5487a9da34e77fd84556c","u-013-dd9b6356","Logistic映射","x=rx(1-x) 随r增大经历倍周期分岔通向混沌","自然与物理","非线性;反馈","混沌与非线性","A级","8","待开发","13","可调参数模拟","Logistic映射 dd9b63563ad5487a9da34e77fd84556c.md"
"aaa238da70274cc2944ec5e2f98a4711","u-014-aaa238da","三体问题","三个引力体的运动无解析解，轨迹混沌不可预测","自然与物理","非线性;反馈","混沌与非线性","S级","18","待开发","14","交互叙事","三体问题 aaa238da70274cc2944ec5e2f98a4711.md"
"463496f09fc344d899b2f69e2576ab3c","u-015-463496f0","Mandelbrot集","z=z^2+c 迭代是否发散定义集合边界，无限缩放仍有细节","自然与物理","非线性;反馈;时空与尺度","混沌与非线性","A级","10","待开发","15","可调参数模拟","Mandelbrot集 463496f09fc344d899b2f69e2576ab3c.md"
"46749f888ae74cdf992d6415d898bef4","u-016-46749f88","Julia集","与Mandelbrot集对偶，不同c值对应不同形态的分形","自然与物理","非线性;反馈;时空与尺度","混沌与非线性","B级","6","待开发","16","可调参数模拟","Julia集 46749f888ae74cdf992d6415d898bef4.md"
"d9fbe2df0675407d99efd44b645e2047","u-017-d9fbe2df","科赫雪花与分形树","递归自相似结构，有限面积无限周长","自然与物理","非线性;反馈","混沌与非线性","B级","6","待开发","17","可调参数模拟","科赫雪花与分形树 d9fbe2df0675407d99efd44b645e2047.md"
"ecfa9f6c02dc40f3b2dcfe976debf0bd","u-018-ecfa9f6c","费根鲍姆常数","倍周期分岔的比值趋向通用常数4.669...","自然与物理","非线性;反馈","混沌与非线性","B级","6","待开发","18","可调参数模拟","费根鲍姆常数 ecfa9f6c02dc40f3b2dcfe976debf0bd.md"
"990602718ff54cea9c9f61808d0eec53","u-019-99060271","奇异吸引子合集(Rossler/Chen)","不同混沌系统的吸引子形态各异但共享混沌特征","自然与物理","非线性;反馈;认知偏差","混沌与非线性","B级","6","待开发","19","可调参数模拟","奇异吸引子合集(Rossler Chen) 990602718ff54cea9c9f61808d0eec53.md"
"3fc16300c9a74925bb6659bd55fd73d0","u-020-3fc16300","囚徒困境锦标赛","重复博弈中以牙还牙策略胜出，合作可以从自私中涌现","日常决策","博弈;策略与风险;涌现","博弈与策略","S级","18","待开发","20","交互叙事","囚徒困境锦标赛 3fc16300c9a74925bb6659bd55fd73d0.md"
"3ba700ec6e8f4611a4e573d4c59c9b49","u-021-3ba700ec","公地悲剧","个体理性最大化导致公共资源耗竭","日常决策","博弈;策略与风险","博弈与策略","A级","10","待开发","21","可调参数模拟","公地悲剧 3ba700ec6e8f4611a4e573d4c59c9b49.md"
"da5568c2c1e645f1afbc1c66ee15adbb","u-022-da5568c2","鹰鸽博弈(演化稳定策略)","种群中鹰派与鸽派的比例趋向演化稳定均衡","日常决策","博弈;策略与风险;平衡与稳定","博弈与策略","A级","8","待开发","22","可调参数模拟","鹰鸽博弈(演化稳定策略) da5568c2c1e645f1afbc1c66ee15adbb.md"
"ed8681f04eb34d31a6e50eea15a9a5cb","u-023-ed8681f0","拍卖机制对比","荷兰式/英式/Vickrey拍卖的策略差异与收益等价定理","日常决策","博弈;策略与风险","博弈与策略","B级","6","待开发","23","可调参数模拟","拍卖机制对比 ed8681f04eb34d31a6e50eea15a9a5cb.md"
